benchmark,variant,seed,workload_scale,config,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
mmio_ordering_bug,failing,1,medium,baseline_no_recorder,compiler_c_scaled,true,5951,1297,0,0,0.002887,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,2,medium,baseline_no_recorder,compiler_c_scaled,true,5951,1297,0,0,0.002894,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,3,medium,baseline_no_recorder,compiler_c_scaled,true,5951,1297,0,0,0.002859,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,4,medium,baseline_no_recorder,compiler_c_scaled,true,5951,1297,0,0,0.002828,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,5,medium,baseline_no_recorder,compiler_c_scaled,true,5951,1297,0,0,0.002854,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,1,long,baseline_no_recorder,compiler_c_scaled,true,23615,5137,0,0,0.005577,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,2,long,baseline_no_recorder,compiler_c_scaled,true,23615,5137,0,0,0.005548,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,3,long,baseline_no_recorder,compiler_c_scaled,true,23615,5137,0,0,0.005682,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,4,long,baseline_no_recorder,compiler_c_scaled,true,23615,5137,0,0,0.005681,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,5,long,baseline_no_recorder,compiler_c_scaled,true,23615,5137,0,0,0.005763,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,1,stress,baseline_no_recorder,compiler_c_scaled,true,94271,20497,0,0,0.016702,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,2,stress,baseline_no_recorder,compiler_c_scaled,true,94271,20497,0,0,0.016743,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
mmio_ordering_bug,failing,3,stress,baseline_no_recorder,compiler_c_scaled,true,94271,20497,0,0,0.016847,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
